SKU,Descripcion,Categoria,Equipo,Origen,Unidad,Almacen,Precio unitario,Consumo anual,Lead time (dias),Criticidad equipo (1-5),Horas parada si falla,N proveedores,Stock actual
RB-10103,Rodillo motorizado de transporte de pallet,Paletizado,Transporte de pallets,Nacional,un,BOD-CENTRAL,210.72,18,38,3,11,3,0
RB-10104,Film stretch pre-estirado 23 um,Paletizado,Enfardadora,Nacional,rollo,BOD-CENTRAL,32.22,444,14,3,20,5,60
RB-10105,Portabotellas de lavadora (bolsillo),Lavadora PRB,Lavadora de botellas,OEM,un,BOD-LINEA,85.89,240,110,5,39,1,26
RB-10106,Cadena de transporte de lavadora,Lavadora PRB,Lavadora de botellas,OEM,m,BOD-LINEA,421.58,11,118,5,15,1,5
RB-10107,Boquilla de inyeccion interior inox,Lavadora PRB,Zona de enjuague,OEM,un,BOD-LINEA,65.26,85,120,5,23,1,22
RB-10108,Bomba centrifuga de sosa 11 kW,Lavadora PRB,Circuito de sosa,Importado,un,BOD-LINEA,4473.16,0,86,5,36,1,0
RB-10109,Sello mecanico resistente a sosa,Lavadora PRB,Circuito de sosa,Importado,un,BOD-LINEA,740.38,5,75,5,28,1,5
RB-10110,Filtro de etiquetas rotativo,Lavadora PRB,Extraccion de etiquetas,OEM,un,BOD-LINEA,3494.7,0,119,4,19,1,2
RB-10111,Serpentin de calefaccion de bano,Lavadora PRB,Bano de sosa,OEM,un,BOD-LINEA,3952.64,0,185,5,29,1,0
RB-10112,Sonda de conductividad para sosa,Lavadora PRB,Control de concentracion,Importado,un,BOD-LINEA,773.77,2,79,4,15,2,1
RB-10113,Boquilla de aspersion de tunel pasteurizador,Pasteurizador,Tunel pasteurizador,Importado,un,BOD-CENTRAL,25.93,237,84,4,21,3,260
RB-10114,"Bomba de recirculacion 7,5 kW",Pasteurizador,Tunel pasteurizador,Importado,un,BOD-CENTRAL,3581.35,0,102,4,15,2,0
RB-10115,Cadena de transporte de pasteurizador,Pasteurizador,Tunel pasteurizador,OEM,m,BOD-CENTRAL,399.72,12,103,4,11,1,2
RB-10116,"Valvula de control de vapor 2""",Pasteurizador,Calefaccion,Importado,un,BOD-CENTRAL,3220.13,0,102,4,7,2,2
RB-10117,Sonda PT100 sanitaria con vaina,Pasteurizador,Control de temperatura,Importado,un,BOD-CENTRAL,194.62,8,58,4,23,3,3
RB-10118,Camara de inspeccion de botella vacia,Inspeccion,Inspector de vacio,OEM,un,BOD-CENTRAL,12759.85,0,175,4,15,1,1
RB-10119,Lampara estroboscopica LED de inspeccion,Inspeccion,Inspector de vacio,OEM,un,BOD-CENTRAL,2142.91,1,154,4,8,1,0
RB-10120,Tarjeta de procesamiento de vision,Inspeccion,Inspector de nivel,OEM,un,BOD-CENTRAL,4991.61,0,144,4,10,1,0
RB-10121,Rechazador neumatico de botella,Inspeccion,Estacion de rechazo,Importado,un,BOD-CENTRAL,1280.59,1,68,4,15,2,2
RB-10122,Detector de metales en linea,Inspeccion,Control de calidad,Importado,un,BOD-CENTRAL,11728.71,0,118,3,17,2,1
RB-10123,Quemador dual de caldera 2000 kg/h,Vapor,Caldera pirotubular,Importado,un,BOD-CENTRAL,24186.07,0,109,5,32,1,0
RB-10124,Electrodo de encendido de quemador,Vapor,Caldera pirotubular,Importado,un,BOD-CENTRAL,133.69,6,63,5,27,2,0
RB-10125,Valvula de seguridad de caldera 10 bar,Vapor,Caldera pirotubular,Importado,un,BOD-CENTRAL,1733.18,1,89,5,39,2,1
RB-10126,"Bomba de alimentacion de caldera 5,5 kW",Vapor,Caldera pirotubular,Importado,un,BOD-CENTRAL,3799.29,1,101,5,16,1,1
RB-10127,Sonda de nivel capacitiva de caldera,Vapor,Caldera pirotubular,Importado,un,BOD-CENTRAL,1173.21,2,73,5,14,2,0
RB-10128,"Trampa de vapor termodinamica 3/4""",Vapor,Red de distribucion,Importado,un,BOD-CENTRAL,172.36,16,57,3,10,3,12
RB-10129,Empaquetadura grafitada trenzada,Vapor,Valvulas de vapor,Nacional,kg,BOD-CENTRAL,79.3,84,20,3,14,4,78
RB-10130,"Valvula reductora de presion de vapor 2""",Vapor,Red de distribucion,Importado,un,BOD-CENTRAL,2552.93,0,86,4,11,1,2
RB-10131,Compresor de tornillo 75 kW (kit mayor),Aire comprimido,Compresor de servicio,Importado,un,BOD-CENTRAL,14177.37,0,93,5,42,2,0
RB-10132,Elemento separador aire-aceite,Aire comprimido,Compresor de servicio,Importado,un,BOD-CENTRAL,352.62,3,74,5,17,3,0
RB-10133,Filtro de aire de admision compresor,Aire comprimido,Compresor de servicio,Importado,un,BOD-CENTRAL,98.22,22,51,4,34,3,13
RB-10134,"Filtro coalescente de linea 1""",Aire comprimido,Tratamiento de aire,Importado,un,BOD-CENTRAL,155.78,21,45,4,26,2,0
RB-10135,Purga automatica de condensado,Aire comprimido,Tratamiento de aire,Importado,un,BOD-CENTRAL,454.68,11,55,3,21,3,0
RB-10136,Secador frigorifico de aire (kit),Aire comprimido,Tratamiento de aire,Importado,un,BOD-CENTRAL,3466.62,0,112,4,20,1,2
RB-10137,Compresor de amoniaco a tornillo (rotor),Frio,Central de amoniaco,Importado,un,BOD-CENTRAL,24247.21,0,152,5,36,1,1
RB-10138,Valvula de expansion electronica NH3,Frio,Central de amoniaco,Importado,un,BOD-CENTRAL,3547.37,0,121,5,18,1,1
RB-10139,Sensor de fuga de amoniaco electroquimico,Frio,Sala de maquinas,Importado,un,BOD-CENTRAL,1149.58,1,89,5,20,2,0
RB-10140,"Bomba de glicol 7,5 kW",Frio,Circuito de glicol,Importado,un,BOD-CENTRAL,2712.72,0,79,4,15,2,1
RB-10141,Relleno de torre de enfriamiento PVC,Frio,Torre de enfriamiento,Nacional,m2,BOD-CENTRAL,109.16,13,34,3,15,3,0
RB-10142,"Ventilador axial de torre 5,5 kW",Frio,Torre de enfriamiento,Importado,un,BOD-CENTRAL,2126.42,1,76,3,11,2,1
RB-10143,Boquilla de distribucion de torre,Frio,Torre de enfriamiento,Nacional,un,BOD-CENTRAL,13.09,110,17,3,19,3,3
RB-10144,Valvula mixproof de doble asiento DN80,CIP,Matriz de valvulas CIP,Importado,un,BOD-CENTRAL,8926.32,0,154,5,35,1,0
RB-10145,Kit de sellos para valvula mixproof DN80,CIP,Matriz de valvulas CIP,Importado,un,BOD-CENTRAL,445.05,6,122,5,40,1,2
RB-10146,Bomba centrifuga CIP 15 kW,CIP,Central CIP,Importado,un,BOD-CENTRAL,4948.53,0,124,5,23,2,0
RB-10147,Cabezal de lavado rotativo 360 grados,CIP,Limpieza de tanques,Importado,un,BOD-CENTRAL,1122.67,2,70,4,10,2,3
RB-10148,Sensor de conductividad CIP sanitario,CIP,Control CIP,Importado,un,BOD-CENTRAL,901.88,4,79,4,13,2,1
RB-10149,Resistencia de calentamiento de solucion CIP,CIP,Central CIP,Importado,un,BOD-CENTRAL,601.39,5,62,4,30,2,1
RB-10150,Soplador de canal lateral 15 kW,RILES,Aireacion biologica,Importado,un,BOD-CENTRAL,6316.09,0,107,4,24,2,1
RB-10151,Difusor de burbuja fina de membrana,RILES,Aireacion biologica,Importado,un,BOD-CENTRAL,49.71,235,82,4,6,2,0
RB-10152,Sensor de oxigeno disuelto optico,RILES,Control de aireacion,Importado,un,BOD-CENTRAL,1826.36,1,80,4,17,2,0
RB-10153,"Bomba sumergible de lodos 7,5 kW",RILES,Recirculacion de lodos,Importado,un,BOD-CENTRAL,4923.44,0,79,4,17,1,1
RB-10154,Bomba dosificadora de polimero,RILES,Deshidratacion,Importado,un,BOD-CENTRAL,1889.5,1,71,3,23,3,0
RB-10155,Tela filtrante para filtro banda,RILES,Deshidratacion,Importado,un,BOD-CENTRAL,1901.32,2,91,3,16,1,1
RB-10156,Agitador sumergible de ecualizacion,RILES,Estanque de ecualizacion,Importado,un,BOD-CENTRAL,4094.7,0,93,3,14,2,2
RB-10157,Sonda de pH industrial para RIL,RILES,Control de neutralizacion,Importado,un,BOD-CENTRAL,425.53,8,62,3,9,2,2
RB-10158,Variador de frecuencia 22 kW,Automatizacion,Accionamientos de linea,Importado,un,BOD-CENTRAL,2740.79,2,62,4,23,2,1
RB-10159,"Variador de frecuencia 5,5 kW",Automatizacion,Accionamientos de linea,Importado,un,BOD-CENTRAL,1187.76,5,52,4,30,3,1
RB-10160,CPU de PLC con puerto Profinet,Automatizacion,Control de linea,Importado,un,BOD-CENTRAL,5626.4,0,111,5,27,1,0
RB-10161,Tarjeta de entradas analogicas 8 canales,Automatizacion,Control de linea,Importado,un,BOD-CENTRAL,1584.06,1,98,5,38,1,0
RB-10162,Tarjeta de salidas digitales 16 canales,Automatizacion,Control de linea,Importado,un,BOD-CENTRAL,483.14,2,80,5,26,1,1
RB-10163,"Panel HMI 15"" tactil",Automatizacion,Interfaz de operador,Importado,un,BOD-CENTRAL,3905.61,0,90,4,17,2,1
RB-10164,Fuente de poder 24 VDC 20 A,Automatizacion,Tableros de control,Importado,un,BOD-CENTRAL,433.89,4,34,4,19,2,2
RB-10165,Switch industrial gestionado 8 puertos,Automatizacion,Red de planta,Importado,un,BOD-CENTRAL,1024.97,3,69,4,6,2,1
RB-10166,Contactor tripolar 65 A con bobina 220 V,Automatizacion,Tableros de fuerza,Importado,un,BOD-CENTRAL,127.78,20,43,3,10,4,0
RB-10167,Rele termico regulable 30-40 A,Automatizacion,Tableros de fuerza,Importado,un,BOD-CENTRAL,63.99,28,34,3,9,4,9
RB-10168,Encoder incremental 1024 ppr,Automatizacion,Sincronizacion de linea,Importado,un,BOD-CENTRAL,436.1,5,48,4,13,2,1
RB-10169,Barrera de seguridad optoelectronica,Automatizacion,Seguridad de maquina,Importado,un,BOD-CENTRAL,1262.41,1,98,4,17,2,1
RB-10170,Interruptor de seguridad de puerta con enclavamiento,Automatizacion,Seguridad de maquina,Importado,un,BOD-CENTRAL,311.99,7,59,4,25,2,2
RB-10171,Electrovalvula 5/2 monoestable 24 VDC,Neumatica,Islas de valvulas,Importado,un,BOD-CENTRAL,100.14,53,35,4,9,3,42
RB-10172,Isla de valvulas de 16 posiciones,Neumatica,Islas de valvulas,Importado,un,BOD-CENTRAL,2908.2,0,73,4,20,2,0
RB-10173,"Unidad de mantenimiento FRL 1/2""",Neumatica,Preparacion de aire,Importado,un,BOD-CENTRAL,222.51,14,37,3,14,4,16
RB-10174,Racor rapido recto 8 mm,Neumatica,Instalacion neumatica,Nacional,un,BOD-CENTRAL,2.69,390,8,2,4,5,127
RB-10175,Manguera de poliuretano 8x5 mm,Neumatica,Instalacion neumatica,Nacional,m,BOD-CENTRAL,1.69,1430,10,2,11,4,0
RB-10176,Cilindro compacto ISO 21287 50x50,Neumatica,Actuadores de linea,Importado,un,BOD-CENTRAL,175.74,43,51,3,15,3,18
RB-10177,Regulador de caudal con antirretorno,Neumatica,Actuadores de linea,Importado,un,BOD-CENTRAL,29.13,91,31,2,10,3,4
RB-10178,Electrodo de pH de laboratorio,Laboratorio,Control de calidad,Importado,un,BOD-CENTRAL,355.95,4,42,2,5,2,1
RB-10179,Celda de medicion de turbidez,Laboratorio,Control de calidad,Importado,un,BOD-CENTRAL,525.42,2,62,2,15,2,1
RB-10180,Kit de reactivos para analisis de CO2,Laboratorio,Control de calidad,Importado,kit,BOD-CENTRAL,338.04,21,38,2,14,1,0
RB-10181,"Membrana para filtracion microbiologica 0,45 um",Laboratorio,Microbiologia,Importado,un,BOD-CENTRAL,1.47,1134,49,2,6,3,888
RB-10182,Membrana de osmosis inversa 8040 baja presion — variante 2,Tratamiento de agua,Planta RO,Importado,un,BOD-CENTRAL,648.91,10,63,4,15,2,2
RB-10183,Portamembrana FRP 8040 300 psi — variante 2,Tratamiento de agua,Planta RO,Importado,un,BOD-CENTRAL,1382.4,0,109,4,23,1,1
RB-10184,"Cartucho filtrante bobinado 5 um 40"" — variante 2",Tratamiento de agua,Prefiltracion RO,Nacional,un,BOD-CENTRAL,12.31,341,11,3,6,5,66
RB-10185,"Cartucho filtrante plisado 1 um 30"" — variante 2",Tratamiento de agua,Pulido final,Nacional,un,BOD-CENTRAL,25.5,57,18,3,25,3,7
RB-10186,Resina cationica fuerte para ablandador — variante 2,Tratamiento de agua,Ablandador,Importado,saco 25 L,BOD-CENTRAL,310.2,3,54,3,25,3,1
RB-10187,Resina anionica base fuerte — variante 2,Tratamiento de agua,Desmineralizador,Importado,saco 25 L,BOD-CENTRAL,648.88,1,46,3,10,2,1
RB-10188,Valvula multipuerto automatica ablandador — variante 2,Tratamiento de agua,Ablandador,Importado,un,BOD-CENTRAL,1974.14,0,79,3,10,1,2
RB-10189,Lampara germicida UV 320 W — variante 2,Tratamiento de agua,Esterilizador UV,Importado,un,BOD-CENTRAL,524.47,8,39,4,13,2,2
